"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,90.0000000000002,108,-8.28312397479212,-24.4433996394194
5.68,90.0000000000002,110,-8.24513594886251,-24.0667532769108
5.68,90.0000000000002,112,-8.2278389989887,-23.7070286685654
5.68,90.0000000000002,114,-8.23089391850666,-23.3710937253821
5.68,90.0000000000002,116,-8.25432497466631,-23.0645532107831
5.68,90.0000000000002,118,-8.29850386322942,-22.7921158413392
5.68,90.0000000000002,120,-8.36413777794436,-22.5578951546711
5.68,90.0000000000002,122,-8.45226033813285,-22.3656502111284
5.68,90.0000000000002,124,-8.56422435818489,-22.2189791957264
5.68,90.0000000000002,126,-8.70169563168886,-22.121480800619
5.68,90.0000000000002,128,-8.86664703941262,-22.0768980185567
5.68,90.0000000000002,130,-9.06135235899251,-22.089258418272
5.68,90.0000000000002,132,-9.28837912472279,-22.1630251087789
5.68,90.0000000000002,134,-9.55057971147562,-22.3032741581112
5.68,90.0000000000002,136,-9.85107943037813,-22.5159180313735
5.68,90.0000000000002,138,-10.1932597311975,-22.8080019489673
5.68,90.0000000000002,140,-10.5807334761859,-23.1881132960269
5.68,90.0000000000002,142,-11.0173075025852,-23.6669678775909
5.68,90.0000000000002,144,-11.506925091126,-24.2582800434812
5.68,90.0000000000002,146,-12.0535772330106,-24.98010583059
5.68,90.0000000000002,148,-12.6611665164892,-25.8570128036955
5.68,90.0000000000002,150,-13.3333011345794,-26.9237828923782
5.68,90.0000000000002,152,-14.0729900439594,-28.2321770066372
5.68,90.0000000000002,154,-14.8822072901105,-29.8644283903979
5.68,90.0000000000002,156,-15.7613030545769,-31.963551634541
5.68,90.0000000000002,158,-16.7082804523042,-34.8141734959951
5.68,90.0000000000002,160,-17.7180646874986,-39.1268912507492
5.68,90.0000000000002,162,-18.7821078455245,-47.7767977211797
5.68,90.0000000000002,164,-19.8890066922911,-49.5058226256981
5.68,90.0000000000002,166,-21.0271204210421,-40.0945968074102
5.68,90.0000000000002,168,-22.1900201401623,-35.7983335305227
5.68,90.0000000000002,170,-23.3843208007943,-33.1079537787358
5.68,90.0000000000002,172,-24.6366666847379,-31.2295622227038
5.68,90.0000000000002,174,-25.9919181993685,-29.8586564152908
5.68,90.0000000000002,176,-27.4818289218973,-28.8478102022117
5.68,90.0000000000002,178,-28.9980818677718,-28.1160170325864
5.68,90.0000000000002,180,-29.9568989799271,-27.6156076708169
